date_opened,date_closed,ticker,strategy,debit_or_credit,entry_price,exit_price,max_profit,max_loss,breakeven,bp_used,realized_pl,notes
2026-05-11,2026-05-22,ASTS,Short Put,credit,,,,,,,440,Closed at 50% of max profit via GTC
,2026-05-22,/RTYU6,Short Put,credit,,,,,,,750,Closed at 32% of max profit overnight
2026-05-15,2026-05-22,/ZBU6,Short Put,credit,,,,,,,109.37,Bonds; closed at 20% of max profit
2026-05-11,2026-05-22,QBTS,Short Put,credit,,,,,,,254,Closed at 55% of max profit (2 contracts)
2026-05-11,2026-05-22,RGTI,Short Put,credit,,,,,,,260,Closed at 50% of max profit (2 contracts)
,2026-05-22,UMAC,Short Put,credit,,,,,,,160,Closed at 50% of max profit (4 contracts)
,2026-05-22,SNDK,Call Butterfly,debit,,,,-200,,,-200,Lotto; expired worthless
,2026-05-29,/NGM6,Call Debit Spread,debit,,,,-350,,,-350,Natural Gas; expired worthless
2026-05-04,2026-05-29,PLTR,Short Put,credit,,,,,,,315,Earnings trade; closed at 50% of max profit
2026-04-28,2026-05-29,HOOD,Call Diagonal,debit,,,,,,,475,Closed Long Call for 77% gain (started as Call Diagonal)
2026-02-24,2026-06-05,/CLN6,Short Strangle,credit,,,,,,,2550,Crude Oil; closed at 56% of max profit after long hold
2026-05-07,2026-06-05,CRWV,Short Put,credit,,,,,,,500,Earnings trade; closed at 52% of max profit
,2026-06-05,/LEQ6,Call Calendar,debit,,,,,,,250,Live Cattle; closed at 54% gain in a couple days
,2026-06-05,AVGO,Call Butterfly,debit,,,,-360,,,-360,Expected-move earnings lotto; did not pan out
2026-06-05,2026-06-12,/RTYU6,Short Put,credit,,,,,,,900,Closed at 50% of max profit via GTC
2026-04-23,2026-06-12,INTC,Short Strangle,credit,,,,,,,110,Earnings trade; managed ITM, closed at 12% of max profit
2026-06-05,2026-06-19,/NQU6,Short Put,credit,,,,,,,2620,Closed at 50% of max profit via GTC
2026-06-05,2026-06-19,/ESU6,Short Put,credit,,,,,,,1900,Closed at 50% of max profit via GTC
2026-05-01,2026-06-19,/NQM6,Call Credit Spread,credit,,,,-530,,,-530,ITM hedge; closed for max loss
2026-05-01,2026-06-19,SPX,Call Credit Spread,credit,,,,-475,,,-475,ITM hedge; closed near max loss
2026-04-17,2026-06-19,NFLX,Short Put,credit,,,,,,,485,Assigned; net premium counted as realized gain
2026-04-30,,META,LEAPS,debit,19250,,,-19250,,8565,,OPEN - Long $500C Jan-2028 LEAPS; long-term hold
2026-06-03,,CBOE,LEAPS,debit,7470,,,-7470,,3767,,OPEN - Long $250C Jan-2028 LEAPS (post PDT-rule removal)
2026-06-03,,CME,LEAPS,debit,5450,,,-5450,,3458,,OPEN - Long $220C Jan-2028 LEAPS (post PDT-rule removal)
2026-06-04,,AVGO,Super Bull,credit,815,,1815,-37185,,2954,,OPEN - short put financing a call debit spread; Jul expiration
2026-06-05,,/ESU6,Short Put,credit,3750,,3750,-358750,7250,16073,,OPEN - $7250 strike Jul expiration
2026-06-15,,NOW,Call Diagonal,debit,560,,440,-560,,555,,OPEN - cheap call diagonal; software beaten down
2026-06-16,,/MESU6,Long Futures,debit,,,,-190131,7605.25,18808,,OPEN - 5 longs avg entry 7605.25
2026-06-11,,ADBE,Call Diagonal,debit,859,,1141,-859,,863,,OPEN - contrarian; Jul/Aug expirations
2026-05-28,,/6EU6,Short Put,credit,475,,475,-144525,1.1504,1991,,OPEN - Euro FX; net credit 575 after roll
2026-05-20,,/6JU6,Call Debit Spread,debit,288,,963,-288,,281,,OPEN - Japanese Yen FX; risk 1 to make 3
2026-05-14,,/ZCN6,Short Put,credit,413,,,-22088,444.25,942,,OPEN - Corn; net credit 537.50 after rolls
2026-05-14,,/ZWN6,Short Put,credit,656,,,-30344,608.88,1704,,OPEN - Wheat; net credit 806.25 after rolls
