Strategy Name,Market Regime and Triggers (ADX and IV),Optimal DTE and Delta Selection,Entry Confirmation (EMA Stack and Keltner Action Zone),Exit and Trim Rules (+2 and +3 ATR),Defensive Hedge Protocols,Source
Self-Funding Theta Ladder,High volatility / expected downturn.,Laddered (Short Nov 28/Dec 05 to pay for Long Dec 19 'Shield' put).,"Execution of the 'Wash' on Day 0 (Monday); Strike set near technical levels (e.g., $6).","If price > strike, keep income/reload; If assigned, sell CCs; If extreme drop, exercise 'Shield' put.",Long-dated put serves as 'catastrophe insurance' or a 'pre-paid parachute'.,[3]
Michael's Core Signal Set (Trend Continuation),Bullish trend; ADX filter for range-bound setups; Volatility prediction (VRP) for sizing.,"Mispriced YOLO OTM setups; prefer cheap, liquid strikes with high unusual flow.",Bullish 8/21/34/55/89 EMA alignment; Pullback to within \sim1 ATR of 21 EMA ('dip inside uptrend').,Primary: EMA 8 crosses below 34; Secondary: EMA 8 below 21; Custom screens for price on EMA 21 via ATR.,Fidelity conditional orders: Trailing Stop Loss paired with Trailing Stop Buy; Limit list to 7 names.,[4]
EMA Cross Momentum,ADX > 25 (Trend Strength Filter); RSI 50-70.,Not in source,EMA 8 crosses above EMA 21; Price above both EMAs.,Fresh Cross Stop: below breakout day's low; Sustained Cross Stop: close below 21 EMA.,50% size for unproven breakouts (Day 1-3); 100% size for proven trends (Day 10+).,[1]
AI-Assisted Trade-Plan (Burford Case Study),ADX and Stochastics; identifies high-conviction setups via unusual options flow anomalies.,"AI-driven position sizing; prefers further-dated, higher-delta contracts.",EMA stack alignment; monitored via Gemini 'Gem' tool checklist.,Three distinct TP levels and a hard stop loss defined by ATR and technical levels.,Tranche execution tactics; 'Catalyst-fail' stop (close if event fires with no price move).,[4]
The Gravity Well Protocol (Gravity Squeeze),Squeeze Ratio < 1.0; Volume spike (2\times+) with minimal price movement (< 1-2%).,Not in source,Volatility compression (Bollinger Bands inside Keltner Channels); Doji or Hammer signals.,Stop at opposite side of range.,High Variance/Small Size; 75% size after range breaks.,[1]
Personal Technical Stack (stock_analyzer.py),Squeeze detection via ATR(14) vs ATR(55) ratio; Bullish/Bearish vs SMA 200.,Not in source,"EMA stack (8/21/34/55/89); White = 8x21 cross, Yellow = 8x34 cross.",2.0\times ATR stop; 1.5\times and 3.0\times ATR take-profit levels.,Not in source,[6]
Wheel / Options Decision Framework,Compare IV to HV30; ADX(14)/(21) to decide DTE.,"2-3 weeks if ADX > 20, else 30-45 days; Default: 30-45 DTE, 30 Delta.",Price target set from Keltner Channel before looking at option chain.,Not in source,"3-month protective puts; Sector hedges (e.g., short INTC while long NVDA).",[6]
TRAMA-based System,"ADX-adaptive indicator length (e.g., TRAMA-34 to TRAMA-21).",Daily timeframe.,TRAMA-34 on daily timeframe; 2 custom oscillators.,AI agent designed to exit bad positions.,Not in source,[6]
IV Rank Timing Tool,IV Rank as RSI-style tool (20/80).,Buy premium (calls/LEAPS) when IV Rank is low; Sell premium (CSPs/CCs) when IV Rank is high.,Not in source,Not in source,Not in source,[6]
Bounce Setup (Deep Oversold),Deep oversold; High ADX (showing trend strength in downtrend).,Not in source,Deep RSI oversold; Price far below 21 EMA by ATR distance.,Not in source,Not in source,[4]
LETF Momentum System,Trend-strength confirmation using ADX Delta.,Not in source,"Dual EMA stack: originally 13/89, later 21/144.",Not in source,Not in source,[6]
Momentum Pullback (1% a Week),Bull or bear markets; Momentum pullbacks.,Stocks (not options); Wait a week.,Stacked EMA on the monthly timeframe.,Not in source,Not in source,[6]
The Calm Before The Volatility,Low implied volatility environment.,60% Options concentration.,Not in source,Not in source,Not in source,[10]
